operating_name,first_category_vendor,First_Category,first_endorsements,first_issued,last_date_opname,last_ward_id,Count of ward_id,Years_Operation,last_latitude,last_longitude,    Average total income in 2020 among recipients ($),    Employed,    Median total income in 2020 among recipients ($),    Unemployed,  Average total income of one-person households in 2020 ($),  In the labour force,  Median total income of one-person households in 2020 ($),  Not in the labour force,Area (sq km),Meadian age,population between  15 and 19,Population over 20 and less than 54,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total population,Unemployment rate
Dairy Bell,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1976-04-09 0:00,2023-07-09 0:00,11,4,47.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Simeonov, Blagovest",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2008-08-25 0:00,2009-11-25 0:00,16,1,1.25,43.75356779,-79.32923092,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Simpraga, Sandra",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-05-02 0:00,2024-02-01 0:00,19,1,22.75,43.7064533,-79.30998497,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Simsek, Nazan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-11-18 0:00,2010-07-02 0:00,5,1,7.67,43.71349275,-79.48787286,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Siwik, Mariusz Josef",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1987-10-28 0:00,2003-03-31 0:00,4,1,15.42,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Slivinsky, Nicoleta",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2006-08-16 0:00,2007-08-28 0:00,21,1,1,43.76207286,-79.27094275,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Slodowy, Andrzej Szczepan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1987-10-28 0:00,2024-02-01 0:00,4,1,36.33,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Slodowy, Marek Jaroslaw",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-04-01 0:00,2016-07-02 0:00,4,1,21.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Smirnis, Argirios",motorized refreshment vehicle owner,,rv - motorized - ice cream;,2002-05-13 0:00,2011-08-13 0:00,9,1,9.25,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Smith, Steven D",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-10-03 0:00,2005-04-02 0:00,24,1,1.5,43.76814595,-79.1873825,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
"Business Of: Sohibnazar, Sarfaroz",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2012-08-03 0:00,2022-07-08 0:00,1,1,9.92,43.69703873,-79.59150599,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Somani, Saidali R",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-05-31 0:00,2005-04-02 0:00,22,1,2.92,43.78155863,-79.30307906,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
"Business Of: Somlev, Alexandre I",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-06-27 0:00,2009-09-27 0:00,19,1,4.25,43.7064533,-79.30998497,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Soriano, Carolyn Castillo",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2016-05-16 0:00,2017-08-16 0:00,8,1,1.25,43.73301287,-79.41769401,88500,53845,44400,7510,67900,61360,46000,34350,22.66246048850679,41.2,7220,53335,95710,114820,12.2
"Business Of: Spirovski, Danijel",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1993-08-17 0:00,2006-11-17 0:00,21,1,13.25,43.75133851,-79.30111804,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Stalker, Scott W",motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2000-04-01 0:00,2017-07-02 0:00,20,1,17.25,43.72512013,-79.23062686,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Stamcoff, Mark Stephen",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1996-07-10 0:00,2005-04-02 0:00,20,1,8.75,43.69573518,-79.26414944,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Stepien, Krzysztof",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2004-04-01 0:00,2007-07-02 0:00,3,1,3.25,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Stoyanov, Rossen",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2008-06-09 0:00,2009-09-09 0:00,20,1,1.25,43.71346037,-79.28478254,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Studeny Sr, John",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1989-06-26 0:00,2005-04-02 0:00,20,1,15.83,43.69573518,-79.26414944,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Studeny, Mary-Lee",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1994-06-20 0:00,2003-03-31 0:00,25,1,8.75,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
"Business Of: Szczepanczyk, Aleksandra Katarzyna",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1988-04-12 0:00,2007-07-13 0:00,4,1,19.25,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Szymczakowska, Lucja",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1989-04-27 0:00,2009-08-19 0:00,11,1,20.33,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Talukder, S M Mamun",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-11-08 0:00,2007-05-16 0:00,13,1,5.5,43.65520104,-79.3630158,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Tanevski, Stergio",motorized refreshment vehicle owner,,rv - motorized - ice cream;,1969-01-01 0:00,2003-02-12 0:00,20,1,34.08,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Tang, Shu Ming",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-09-12 0:00,2005-04-02 0:00,11,1,9.58,43.65374348,-79.3982383,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Tarzi, Gholam",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2006-07-06 0:00,2009-10-06 0:00,5,1,3.25,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Tarzi, Mastura Helena",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2007-11-16 0:00,2009-02-16 0:00,5,1,1.25,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Taylor, Douglas Herbert",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2003-07-22 0:00,2005-04-02 0:00,19,1,1.75,43.7064533,-79.30998497,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Tchernev, Bojidar",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2009-05-22 0:00,2010-05-27 0:00,3,1,1,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Tcherneva, Rositza",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1999-09-02 0:00,2015-12-03 0:00,3,1,16.25,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
Business Of: The Spicy Ethiopian Inc,mobile vending (food truck),Other international food,mobile vending (food truck) 6-month;,2016-08-05 0:00,2017-04-20 0:00,19,1,0.67,43.71604182,-79.3058172,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Thompson, Eugene",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2007-06-13 0:00,2008-09-13 0:00,25,1,1.25,43.78776803,-79.15615166,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
"Business Of: Tichina, Lidia",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-06-03 0:00,2003-03-31 0:00,6,1,0.75,43.77813012,-79.44461448,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"Business Of: Tiholov, Stefan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-05-07 0:00,2016-08-07 0:00,13,1,18.25,43.66646083,-79.38135579,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Tiholova, Neli Arsova",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1999-04-01 0:00,2008-04-08 0:00,13,1,9,43.66646083,-79.38135579,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: To, Anson Yun",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - ice cream;,2003-10-16 0:00,2006-01-16 0:00,19,1,2.25,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Topyurek, Ali",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2000-04-12 0:00,2005-04-02 0:00,6,1,5,43.72654095,-79.49858956,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"Business Of: Topyurek, Erdogan",non-motorized refreshment vehicle owner,American Cuisine,rv - trailer - propane heater;,2004-04-01 0:00,2016-07-20 0:00,6,1,12.25,43.73893185,-79.47093192,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"Business Of: Tran, Anh Ngoc",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2011-07-08 0:00,2012-10-08 0:00,7,1,1.25,43.75690291,-79.52026041,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Tran, Ha Thanh Thi",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-09-30 0:00,2008-03-04 0:00,21,1,5.5,43.76207286,-79.27094275,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Trendafilov, Marin Georgiev",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-07-02 0:00,2024-02-01 0:00,15,1,32.58,43.70310761,-79.3867149,113600,46200,47200,6345,83200,52550,54400,31175,30.29693944212094,41.2,6665,46355,83725,101025,12.1
"Business Of: Triantafilidou, Parthena",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-06-12 0:00,2018-09-12 0:00,21,1,27.25,43.74664753,-79.23195384,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Business Of: Tryme Food Truck Inc,mobile vending (food truck),,mobile vending (food truck) annual;,2018-12-11 0:00,2019-12-19 0:00,22,1,1,43.7868619,-79.31723016,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
"Business Of: Tsetar, Karma",mobile vending (food truck),,mobile vending (food truck) 6-month;,2018-05-14 0:00,2019-01-31 0:00,20,1,0.67,43.69573518,-79.26414944,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Tsialafos, Konstantinos",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,1991-05-08 0:00,2022-08-09 0:00,20,1,31.25,43.71346037,-79.28478254,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Tsialafos, Niki",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,2000-04-27 0:00,2024-02-01 0:00,20,1,23.83,43.71346037,-79.28478254,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Tsiktsiris, Elias Louis",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,1998-07-22 0:00,2020-10-14 0:00,3,1,22.25,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Tsiktsiris, Georgeos",non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,1987-05-05 0:00,2014-07-01 0:00,3,1,27.17,43.63310424,-79.49468235,71100,73170,47600,9780,67500,82950,51600,38510,39.99417467554395,40.8,5160,73835,121460,139920,11.8
"Business Of: Tsiopanas, Fotios",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1990-06-13 0:00,2006-09-13 0:00,2,1,16.25,43.69279988,-79.53289089,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
"Business Of: Tsirigotis, Dimitrios",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1989-05-01 0:00,2016-08-01 0:00,5,1,27.25,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
"Business Of: Tzortzis, Christos",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1988-05-30 0:00,2024-02-01 0:00,24,1,35.75,43.77063258,-79.21670016,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
"Business Of: Tzortzis, Sotiria Georgas",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1988-11-01 0:00,2007-02-01 0:00,24,1,18.25,43.77063258,-79.21670016,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
Business Of: Untamed Chef Inc,mobile vending (food truck),,mobile vending (food truck) 6-month;,2015-07-31 0:00,2017-10-10 0:00,12,1,2.25,43.68531179,-79.41442403,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Urdarevik, Slobodan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1996-05-01 0:00,2005-07-01 0:00,21,1,9.17,43.76207286,-79.27094275,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Valtcheva, Zlatka",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-03-01 0:00,2020-10-04 0:00,20,1,25.58,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Vassilev, Stoitcho",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2000-04-01 0:00,2005-07-01 0:00,14,1,5.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Vassilev, Todor",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1995-04-01 0:00,2008-07-02 0:00,2,1,13.25,43.69279988,-79.53289089,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
"Business Of: Vassileva, Ivanka",non-motorized refreshment vehicle owner,Specialty and Fusion,rv - non-motorized - propane heater;,1996-09-24 0:00,2020-11-03 0:00,16,1,24.17,43.72431984,-79.34293289,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Vatchourov, Marko Dontchev",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1994-03-16 0:00,2018-06-16 0:00,14,1,24.25,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Vatchourov, Milka",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-04-01 0:00,2024-02-01 0:00,14,1,25.83,43.68044855,-79.35324169,70800,52435,45200,7515,61200,59950,41600,28425,20.80286727365419,40.8,4200,54260,88370,104555,12.5
"Business Of: Vidiri, Angelo",motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2000-10-04 0:00,2006-01-04 0:00,7,1,5.25,43.73454944,-79.5323733,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
"Business Of: Vikneswaran, Jeyaverni",mobile vending (ice cream truck),Desserts and Sweets,mobile vending (ice cream truck) annual;,2014-06-12 0:00,2019-11-13 0:00,24,1,5.42,43.76814595,-79.1873825,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
"Business Of: Villa, Claudio Hugo",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2008-06-27 0:00,2009-09-27 0:00,6,1,1.25,43.72654095,-79.49858956,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
"Business Of: Viswam, Manoj",motorized refreshment vehicle owner,,rv - motorized - ice cream;,2008-07-22 0:00,2010-10-22 0:00,1,1,2.25,43.74284258,-79.58466097,39760,47840,32400,9430,45000,57265,35200,39355,48.36547443546212,38,7085,56585,96620,115120,16.5
"Business Of: Vitale, Michael Mark",motorized refreshment vehicle owner,,rv - motorized - propane heater;,1992-09-02 0:00,2003-05-02 0:00,23,1,10.67,43.79411889,-79.26559072,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
"Business Of: Vournakis, Georgios",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1993-05-07 0:00,2005-07-01 0:00,18,1,12.17,43.76759718,-79.41027601,55050,56595,36800,8240,63050,64830,47600,38860,19.76270392348029,39.2,5035,64180,103695,117130,12.7
"Business Of: Voychev, Andrey",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2013-07-09 0:00,2015-10-09 0:00,19,1,2.25,43.6782199,-79.29375068,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Vrentas, Alexandra Sarantakos",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1989-08-14 0:00,2008-11-14 0:00,12,1,19.25,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Vrentas, Christina",non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,1990-01-02 0:00,2009-08-19 0:00,12,1,19.58,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Vrentas, Panagiute",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2006-07-25 0:00,2018-10-25 0:00,12,1,12.25,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Vrentas, Vasiliki",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1991-07-09 0:00,2024-02-01 0:00,12,1,32.58,43.69173393,-79.43080797,96000,61350,50000,7470,79200,68825,52400,31815,13.12169436260066,39.6,4485,61305,100635,114095,10.9
"Business Of: Wafasharefe, Zaman",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2004-07-21 0:00,2006-06-28 0:00,24,1,1.92,43.76814595,-79.1873825,41760,41920,33200,8155,44360,50075,33600,35505,26.11145829405803,38.4,6030,49535,85580,102755,16.3
"Business Of: Wali, Mohammad Zahir",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2009-08-17 0:00,2013-10-03 0:00,11,1,4.17,43.65374348,-79.3982383,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Walker, Douglas W",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2006-01-19 0:00,2024-02-01 0:00,19,1,18.08,43.6782199,-79.29375068,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Watson, Sean Patrick",motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2013-09-23 0:00,2014-12-24 0:00,19,1,1.25,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Wegiel, Stefan",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1994-06-02 0:00,2003-03-31 0:00,4,1,8.75,43.63794387,-79.42996248,72800,54650,46800,8120,59200,62770,44800,26925,15.32836716725182,40,4680,56515,89700,104715,12.9
"Business Of: Wilson, James V",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2002-08-23 0:00,2005-07-01 0:00,20,1,2.92,43.72968298,-79.26381008,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Yogarajah, Navaratnam",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-05-19 0:00,2006-08-19 0:00,20,1,1.25,43.72512013,-79.23062686,49160,46020,35600,9005,46880,55025,35200,36945,28.13809805826185,40.8,6425,52250,91970,110095,16.4
"Business Of: Yousaf, Saif",mobile vending (food truck),,mobile vending (food truck) 6-month;,2018-05-15 0:00,2019-01-31 0:00,19,1,0.67,43.66938437,-79.31558904,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Yousifi-Fazil, Davood",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1998-07-08 0:00,2005-04-02 0:00,19,1,6.75,43.6782199,-79.29375068,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Zangeneh, Sadegh",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1996-04-01 0:00,2011-07-02 0:00,19,1,15.25,43.69166266,-79.31139705,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
"Business Of: Zarafonitis, Eleni",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1990-03-20 0:00,2011-06-23 0:00,22,1,21.25,43.80139584,-79.32141161,41560,41315,31600,8125,45840,49440,33600,40950,21.39897455007252,45.2,4930,46270,90390,103690,16.4
"Business Of: Zigkos, Georgios",non-motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - non-motorized - propane heater;,1996-02-27 0:00,2024-02-01 0:00,9,1,28,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
"Business Of: Zigkos, Valentina",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2001-04-01 0:00,2003-03-31 0:00,9,1,1.92,43.66482999,-79.43770318,55550,54715,40400,8260,56350,62975,41200,28660,12.09534538559141,38.4,3895,60750,91630,104730,13.1
C R D  Catering Ltd,motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2009-09-16 0:00,2014-08-26 0:00,7,1,4.92,43.76174511,-79.57439299,37240,43655,31400,9465,38760,53120,29200,39315,30.70157306,37.6,7175,54505,92430,111200,17.8
Cafe Asante,motorized refreshment vehicle owner,Other international food,rv - motorized - propane heater;,2019-06-25 0:00,2024-02-01 0:00,25,1,4.67,43.80929263,-79.19322535,47840,44200,37200,7815,52200,52015,40800,34435,54.07847454192885,42,6105,45745,86445,101485,15
Caffe'In,motorized refreshment vehicle owner,Beverages,rv - motorized - no heater;,2023-08-15 0:00,2024-02-01 0:00,17,1,0.5,43.77320711,-79.34579493,50880,51425,37200,8630,60150,60060,48000,38375,24.42064193785486,40.4,5090,57315,98425,112590,14.4
Caledonia Catering,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,1979-08-30 0:00,2020-11-03 0:00,6,1,41.25,43.72654095,-79.49858956,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
Caplansky'S Deli,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2016-11-04 0:00,2018-02-04 0:00,11,1,1.25,43.65374348,-79.3982383,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Caplansky'S Delimobile,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2011-11-22 0:00,2016-01-12 0:00,11,1,4.17,43.65374348,-79.3982383,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Captain Fries,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,1987-04-23 0:00,2005-04-02 0:00,2,1,18,43.64254993,-79.5762856,69200,53450,44400,7830,64600,61275,51200,38625,37.349370192023244,45.2,6540,50130,99900,117200,12.8
